ecg,ppg_red,ppg_ir,,ppg_red1,ppg_ir1,heart_rate,SpO2_val,SCD_status,temperature
-993,8820,14809,,58820,26809,75,98,On Skin,37
-848,8831,14816,,58831,26816,75,98,On Skin,37
-855,8869,14813,,58869,26813,75,98,On Skin,37
-516,8899,14823,,58899,26823,75,98,On Skin,37
-530,8866,14781,,58866,26781,75,98,On Skin,37
-329,8793,14766,,58793,26766,75,98,On Skin,37
214,8605,14717,,58605,26717,75,98,On Skin,37
650,8289,14634,,58289,26634,75,98,On Skin,37
1161,7899,14527,,57899,26527,75,98,On Skin,37
-1348,7061,14344,,57061,26344,75,98,On Skin,37
-1522,7120,14345,,57120,26345,75,98,On Skin,37
-2093,7225,14387,,57225,26387,75,98,On Skin,37
-1957,7291,14405,,57291,26405,75,98,On Skin,37
-2291,7289,14397,,57289,26397,75,98,On Skin,37
-2299,7285,14377,,57285,26377,75,98,On Skin,37
-2265,7337,14405,,57337,26405,75,98,On Skin,37
-2289,7452,14437,,57452,26437,75,98,On Skin,37
-2048,7577,14489,,57577,26489,75,98,On Skin,37
-2166,7726,14536,,57726,26536,75,98,On Skin,37
-2353,7817,14549,,57817,26549,75,98,On Skin,37
-2182,7837,14556,,57837,26556,75,98,On Skin,37
-2685,7815,14532,,57815,26532,75,98,On Skin,37
-2402,7803,14532,,57803,26532,75,98,On Skin,37
-2415,7800,14523,,57800,26523,75,98,On Skin,37
-2488,7798,14520,,57798,26520,75,98,On Skin,37
-1980,7835,14527,,57835,26527,75,98,On Skin,37
-1959,7858,14547,,57858,26547,75,98,On Skin,37
-1471,7894,14554,,57894,26554,75,98,On Skin,37
-1635,7919,14560,,57919,26560,75,98,On Skin,37
-1324,7946,14550,,57946,26550,75,98,On Skin,37
-1790,8006,14575,,58006,26575,75,98,On Skin,37
-1879,8066,14584,,58066,26584,75,98,On Skin,37
-2384,8149,14624,,58149,26624,75,98,On Skin,37
-2304,8247,14641,,58247,26641,75,98,On Skin,37
-3660,8304,14657,,58304,26657,75,98,On Skin,37
3850,8334,14645,,58334,26645,75,98,On Skin,37
6722,8359,14653,,58359,26653,75,98,On Skin,37
-2037,8383,14659,,58383,26659,75,98,On Skin,37
-2154,8553,14695,,58553,26695,75,98,On Skin,37
-2331,8577,14702,,58577,26702,75,98,On Skin,37
-2042,8598,14702,,58598,26702,75,98,On Skin,37
-2113,8649,14723,,58649,26723,75,98,On Skin,37
-1849,8675,14724,,58675,26724,75,98,On Skin,37
-1205,8704,14735,,58704,26735,75,98,On Skin,37
-1086,8747,14746,,58747,26746,75,98,On Skin,37
-907,8752,14743,,58752,26743,75,98,On Skin,37
-764,8585,14691,,58585,26691,75,98,On Skin,37
32,8255,14600,,58255,26600,75,98,On Skin,37
60,7866,14489,,57866,26489,75,98,On Skin,37
294,7511,14419,,57511,26419,75,98,On Skin,37
386,7240,14349,,57240,26349,75,98,On Skin,37
-200,7002,14290,,57002,26290,75,98,On Skin,37
-1099,6897,14271,,56897,26271,75,98,On Skin,37
-1636,6883,14256,,56883,26256,75,98,On Skin,37
-1751,6949,14267,,56949,26267,75,98,On Skin,37
-1905,7053,14316,,57053,26316,75,98,On Skin,37
-2003,7188,14366,,57188,26366,75,98,On Skin,37
-1700,7275,14403,,57275,26403,75,98,On Skin,37
-1858,7280,14404,,57280,26404,75,98,On Skin,37
-2189,7304,14391,,57304,26391,75,98,On Skin,37
-2072,7303,14376,,57303,26376,75,98,On Skin,37
-1941,7344,14367,,57344,26367,75,98,On Skin,37
-1654,7420,14405,,57420,26405,75,98,On Skin,37
-1677,7557,14450,,57557,26450,75,98,On Skin,37
-1670,7641,14482,,57641,26482,75,98,On Skin,37
-1942,7650,14474,,57650,26474,75,98,On Skin,37
-1377,7649,14470,,57649,26470,75,98,On Skin,37
-1831,7637,14474,,57637,26474,75,98,On Skin,37
-1711,7623,14446,,57623,26446,75,98,On Skin,37
-1449,7581,14437,,57581,26437,75,98,On Skin,37
-1484,7617,14450,,57617,26450,75,98,On Skin,37
-1128,7661,14462,,57661,26462,75,98,On Skin,37
-1183,7702,14476,,57702,26476,75,98,On Skin,37
-1115,7745,14477,,57745,26477,75,98,On Skin,37
-742,7812,14494,,57812,26494,75,98,On Skin,37
-710,7886,14511,,57886,26511,75,98,On Skin,37
-657,7949,14516,,57949,26516,75,98,On Skin,37
-392,7992,14528,,57992,26528,75,98,On Skin,37
-762,8068,14542,,58068,26542,75,98,On Skin,37
-901,8139,14568,,58139,26568,75,98,On Skin,37
-670,8219,14592,,58219,26592,75,98,On Skin,37
-1794,8257,14586,,58257,26586,75,98,On Skin,37
1946,8260,14583,,58260,26583,75,98,On Skin,37
10463,8279,14586,,58279,26586,75,98,On Skin,37
377,8336,14605,,58336,26605,75,98,On Skin,37
-1136,8395,14633,,58395,26633,75,98,On Skin,37
-1078,8464,14640,,58464,26640,75,98,On Skin,37
-1042,8498,14662,,58498,26662,75,98,On Skin,37
-1010,8585,14680,,58585,26680,75,98,On Skin,37
-227,8665,14703,,58665,26703,75,98,On Skin,37
-453,8682,14709,,58682,26709,75,98,On Skin,37
-162,8703,14707,,58703,26707,75,98,On Skin,37
-337,8715,14712,,58715,26712,75,98,On Skin,37
-84,8763,14737,,58763,26737,75,98,On Skin,37
-263,8768,14734,,58768,26734,75,98,On Skin,37
546,8652,14703,,58652,26703,75,98,On Skin,37
600,8399,14635,,58399,26635,75,98,On Skin,37
1505,8006,14524,,58006,26524,75,98,On Skin,37
1481,7582,14421,,57582,26421,75,98,On Skin,37
1796,7210,14307,,57210,26307,75,98,On Skin,37
1256,6941,14240,,56941,26240,75,98,On Skin,37
342,6838,14202,,56838,26202,75,98,On Skin,37
-353,6814,14214,,56814,26214,75,98,On Skin,37
-706,6830,14212,,56830,26212,75,98,On Skin,37
-746,6854,14215,,56854,26215,75,98,On Skin,37
-765,6875,14203,,56875,26203,75,98,On Skin,37
-792,6904,14214,,56904,26214,75,98,On Skin,37
-605,6916,14218,,56916,26218,75,98,On Skin,37
-596,6930,14226,,56930,26226,75,98,On Skin,37
-943,6961,14237,,56961,26237,75,98,On Skin,37
-610,7040,14258,,57040,26258,75,98,On Skin,37
-903,7135,14288,,57135,26288,75,98,On Skin,37
-643,7223,14317,,57223,26317,75,98,On Skin,37
-1002,7326,14342,,57326,26342,75,98,On Skin,37
-816,7373,14371,,57373,26371,75,98,On Skin,37
-617,7414,14394,,57414,26394,75,98,On Skin,37
-787,7398,14371,,57398,26371,75,98,On Skin,37
-1104,7362,14347,,57362,26347,75,98,On Skin,37
-968,7381,14368,,57381,26368,75,98,On Skin,37
-1071,7476,14408,,57476,26408,75,98,On Skin,37
-1274,7540,14440,,57540,26440,75,98,On Skin,37
-1034,7594,14454,,57594,26454,75,98,On Skin,37
-942,7659,14470,,57659,26470,75,98,On Skin,37
-504,7739,14495,,57739,26495,75,98,On Skin,37
-216,7820,14528,,57820,26528,75,98,On Skin,37
-569,7849,14520,,57849,26520,75,98,On Skin,37
-155,7890,14524,,57890,26524,75,98,On Skin,37
287,7983,14554,,57983,26554,75,98,On Skin,37
-1,8101,14596,,58101,26596,75,98,On Skin,37
-319,8218,14639,,58218,26639,75,98,On Skin,37
-502,8293,14653,,58293,26653,75,98,On Skin,37
-743,8306,14648,,58306,26648,75,98,On Skin,37
-1595,8323,14635,,58323,26635,75,98,On Skin,37
8901,8323,14620,,58323,26620,75,98,On Skin,37
4075,8330,14625,,58330,26625,75,98,On Skin,37
-410,8366,14623,,58366,26623,75,98,On Skin,37
-180,8536,14681,,58536,26681,75,98,On Skin,37
-216,8527,14679,,58527,26679,75,98,On Skin,37
-53,8564,14675,,58564,26675,75,98,On Skin,37
-139,8623,14702,,58623,26702,75,98,On Skin,37
613,8671,14709,,58671,26709,75,98,On Skin,37
41,8642,14715,,58642,26715,75,98,On Skin,37
301,8445,14667,,58445,26667,75,98,On Skin,37
736,8098,14570,,58098,26570,75,98,On Skin,37
1128,7663,14451,,57663,26451,75,98,On Skin,37
1318,7326,14376,,57326,26376,75,98,On Skin,37
1216,7080,14319,,57080,26319,75,98,On Skin,37
-571,6963,14299,,56963,26299,75,98,On Skin,37
-1000,6899,14281,,56899,26281,75,98,On Skin,37
-1415,6873,14276,,56873,26276,75,98,On Skin,37
-1857,6926,14296,,56926,26296,76,98,On Skin,37
-1472,7009,14318,,57009,26318,76,98,On Skin,37
-1075,7097,14335,,57097,26335,76,98,On Skin,37
-1451,7144,14358,,57144,26358,76,98,On Skin,37
-1255,7163,14351,,57163,26351,76,98,On Skin,37
-1271,7385,14406,,57385,26406,76,98,On Skin,37
-1549,7437,14425,,57437,26425,76,98,On Skin,37
-1061,7447,14436,,57447,26436,76,98,On Skin,37
-1369,7461,14432,,57461,26432,76,98,On Skin,37
-2536,7450,14399,,57450,26399,76,98,On Skin,37
-2388,7504,14407,,57504,26407,76,98,On Skin,37
-2867,7551,14422,,57551,26422,76,98,On Skin,37
-2745,7608,14432,,57608,26432,76,98,On Skin,37
-2252,7639,14437,,57639,26437,76,98,On Skin,37
-2528,7742,14483,,57742,26483,76,98,On Skin,37
-2262,7820,14496,,57820,26496,76,98,On Skin,37
-2745,7890,14530,,57890,26530,76,98,On Skin,37
-2763,7952,14524,,57952,26524,76,98,On Skin,37
-3026,7976,14519,,57976,26519,76,98,On Skin,37
-2902,8032,14550,,58032,26550,76,98,On Skin,37
-2741,8097,14562,,58097,26562,76,98,On Skin,37
-3778,8126,14568,,58126,26568,76,98,On Skin,37
-3342,8192,14586,,58192,26586,76,98,On Skin,37
6992,8235,14598,,58235,26598,76,98,On Skin,37
122,8284,14607,,58284,26607,76,98,On Skin,37
-3039,8323,14627,,58323,26627,76,98,On Skin,37
-3016,8360,14633,,58360,26633,76,98,On Skin,37
-2743,8387,14633,,58387,26633,76,98,On Skin,37
-2477,8388,14628,,58388,26628,76,98,On Skin,37
-2616,8463,14653,,58463,26653,76,98,On Skin,37
-2099,8539,14675,,58539,26675,76,98,On Skin,37
-2023,8557,14692,,58557,26692,76,98,On Skin,37
-1593,8589,14693,,58589,26693,76,98,On Skin,37
-1337,8622,14691,,58622,26691,76,98,On Skin,37
-539,8611,14681,,58611,26681,76,98,On Skin,37
-65,8537,14663,,58537,26663,76,98,On Skin,37
-42,8301,14601,,58301,26601,76,98,On Skin,37
595,7996,14533,,57996,26533,76,98,On Skin,37
1412,7615,14441,,57615,26441,76,98,On Skin,37
1363,7244,14347,,57244,26347,76,98,On Skin,37
1384,6974,14291,,56974,26291,76,98,On Skin,37
787,6812,14243,,56812,26243,76,98,On Skin,37
150,6762,14239,,56762,26239,76,98,On Skin,37
-360,6754,14232,,56754,26232,76,98,On Skin,37
-510,6806,14249,,56806,26249,76,98,On Skin,37
-2264,6880,14281,,56880,26281,76,98,On Skin,37
-2293,6911,14269,,56911,26269,76,98,On Skin,37
-1599,6971,14298,,56971,26298,76,98,On Skin,37
-708,7175,14323,,57175,26323,76,98,On Skin,37
-705,7234,14342,,57234,26342,76,98,On Skin,37
-492,7296,14355,,57296,26355,76,98,On Skin,37
-717,7306,14353,,57306,26353,76,98,On Skin,37
635,7339,14359,,57339,26359,76,98,On Skin,37
227,7398,14374,,57398,26374,76,98,On Skin,37
212,7437,14384,,57437,26384,76,98,On Skin,37
219,7440,14361,,57440,26361,76,98,On Skin,37
213,7379,14338,,57379,26338,76,98,On Skin,37
538,7282,14259,,57282,26259,76,98,On Skin,37
713,7296,14246,,57296,26246,76,98,On Skin,37
861,7389,14290,,57389,26290,76,98,On Skin,37
875,7539,14357,,57539,26357,76,98,On Skin,37
879,7756,14414,,57756,26414,76,98,On Skin,37
267,7848,14438,,57848,26438,76,98,On Skin,37
414,7916,14442,,57916,26442,76,98,On Skin,37
196,7990,14462,,57990,26462,76,98,On Skin,37
-288,8083,14509,,58083,26509,76,98,On Skin,37
10698,8208,14555,,58208,26555,76,98,On Skin,37
3785,8334,14590,,58334,26590,76,98,On Skin,37
-659,8384,14606,,58384,26606,76,98,On Skin,37
99,8426,14615,,58426,26615,76,98,On Skin,37
-69,8465,14616,,58465,26616,76,98,On Skin,37
-290,8491,14618,,58491,26618,76,98,On Skin,37
279,8524,14623,,58524,26623,76,98,On Skin,37
245,8558,14660,,58558,26660,76,98,On Skin,37
90,8613,14664,,58613,26664,76,98,On Skin,37
716,8646,14661,,58646,26661,76,98,On Skin,37
1499,8670,14672,,58670,26672,76,98,On Skin,37
1532,8672,14643,,58672,26643,76,98,On Skin,37
1547,8645,14646,,58645,26646,76,98,On Skin,37
1935,8443,14589,,58443,26589,76,98,On Skin,37
2412,8128,14507,,58128,26507,76,98,On Skin,37
2752,7754,14430,,57754,26430,76,98,On Skin,37
3186,7331,14309,,57331,26309,76,98,On Skin,37
2644,6981,14213,,56981,26213,76,98,On Skin,37
1804,6763,14163,,56763,26163,76,98,On Skin,37
1219,6666,14147,,56666,26147,76,98,On Skin,37
937,6659,14142,,56659,26142,76,98,On Skin,37
512,6710,14157,,56710,26157,76,98,On Skin,37
608,6762,14153,,56762,26153,76,98,On Skin,37
581,6836,14190,,56836,26190,76,98,On Skin,37
235,6900,14203,,56900,26203,76,98,On Skin,37
669,6924,14196,,56924,26196,76,98,On Skin,37
679,6968,14201,,56968,26201,76,98,On Skin,37
503,7039,14232,,57039,26232,76,98,On Skin,37
309,7117,14244,,57117,26244,76,98,On Skin,37
626,7145,14245,,57145,26245,76,98,On Skin,37
341,7151,14235,,57151,26235,76,98,On Skin,37
268,7218,14281,,57218,26281,76,98,On Skin,37
520,7305,14299,,57305,26299,76,98,On Skin,37
286,7390,14340,,57390,26340,76,98,On Skin,37
646,7392,14335,,57392,26335,76,98,On Skin,37
117,7369,14307,,57369,26307,76,98,On Skin,37
131,7309,14295,,57309,26295,76,98,On Skin,37
270,7290,14273,,57290,26273,76,98,On Skin,37
189,7300,14283,,57300,26283,76,98,On Skin,37
493,7321,14277,,57321,26277,76,98,On Skin,37
227,7359,14284,,57359,26284,76,98,On Skin,37
363,7416,14287,,57416,26287,76,98,On Skin,37
488,7515,14335,,57515,26335,76,98,On Skin,37
-558,7944,14415,,57944,26415,76,98,On Skin,37
-918,8002,14420,,58002,26420,76,98,On Skin,37
-841,7978,14410,,57978,26410,76,98,On Skin,37
-816,7995,14424,,57995,26424,76,98,On Skin,37
-566,8187,14476,,58187,26476,76,98,On Skin,37
-602,8224,14490,,58224,26490,76,98,On Skin,37
120,8239,14478,,58239,26478,76,98,On Skin,37
-57,8223,14464,,58223,26464,76,98,On Skin,37
514,7843,14370,,57843,26370,76,98,On Skin,37
1315,7490,14292,,57490,26292,76,98,On Skin,37
1350,7075,14169,,57075,26169,76,98,On Skin,37
1299,6728,14087,,56728,26087,76,98,On Skin,37
698,6493,14037,,56493,26037,76,98,On Skin,37
336,6410,14016,,56410,26016,76,98,On Skin,37
-885,6429,14021,,56429,26021,76,98,On Skin,37
-1149,6482,14035,,56482,26035,76,98,On Skin,37
-1012,6579,14067,,56579,26067,76,98,On Skin,37
-972,6655,14093,,56655,26093,76,98,On Skin,37
-1107,6999,14176,,56999,26176,76,98,On Skin,37
-958,7047,14183,,57047,26183,76,98,On Skin,37
-1219,7135,14211,,57135,26211,76,98,On Skin,37
-616,7157,14220,,57157,26220,76,98,On Skin,37
-701,7093,14176,,57093,26176,76,98,On Skin,37
-438,7102,14176,,57102,26176,76,98,On Skin,37
-665,7131,14180,,57131,26180,76,98,On Skin,37
-464,7165,14173,,57165,26173,76,98,On Skin,37
972,7481,14242,,57481,26242,76,98,On Skin,37
91,7511,14251,,57511,26251,76,98,On Skin,37
57,7607,14281,,57607,26281,76,98,On Skin,37
-68,7668,14298,,57668,26298,76,98,On Skin,37
-1627,7701,14290,,57701,26290,76,98,On Skin,37
3637,7714,14296,,57714,26296,76,98,On Skin,37
-346,7877,14322,,57877,26322,76,98,On Skin,37
-279,7937,14352,,57937,26352,76,98,On Skin,37
-358,7948,14346,,57948,26346,76,98,On Skin,37
-425,7966,14354,,57966,26354,76,98,On Skin,37
-173,8024,14374,,58024,26374,76,98,On Skin,37
311,8080,14397,,58080,26397,76,98,On Skin,37
41,8132,14405,,58132,26405,76,98,On Skin,37
340,8213,14424,,58213,26424,76,98,On Skin,37
664,8209,14405,,58209,26405,76,98,On Skin,37
846,8105,14385,,58105,26385,76,98,On Skin,37
1223,7875,14330,,57875,26330,76,98,On Skin,37
1753,7502,14233,,57502,26233,76,98,On Skin,37
1814,6396,13934,,56396,25934,76,98,On Skin,37
556,6187,13872,,56187,25872,76,98,On Skin,37
-224,6116,13846,,56116,25846,76,98,On Skin,37
-732,6123,13841,,56123,25841,76,98,On Skin,37
-3123,6370,13891,,56370,25891,76,98,On Skin,37
-2444,6341,13850,,56341,25850,76,98,On Skin,37
-2312,6371,13859,,56371,25859,76,98,On Skin,37
-1850,6485,13895,,56485,25895,76,98,On Skin,37
-1946,6715,13974,,56715,25974,76,98,On Skin,37
-1964,6704,13954,,56704,25954,76,98,On Skin,37
-1729,6688,13956,,56688,25956,76,98,On Skin,37
-1631,6723,13963,,56723,25963,76,98,On Skin,37
-1417,6775,13989,,56775,25989,76,98,On Skin,37
-768,7004,14045,,57004,26045,76,98,On Skin,37
-852,7143,14083,,57143,26083,76,98,On Skin,37
-782,7290,14148,,57290,26148,76,98,On Skin,37
-1117,7398,14172,,57398,26172,76,98,On Skin,37
-1355,7490,14209,,57490,26209,76,98,On Skin,37
-893,7574,14239,,57574,26239,76,98,On Skin,37
-1692,7666,14269,,57666,26269,76,98,On Skin,37
-577,7838,14332,,57838,26332,76,98,On Skin,37
8703,7899,14361,,57899,26361,76,98,On Skin,37
1136,7955,14373,,57955,26373,76,98,On Skin,37
-2289,7931,14352,,57931,26352,76,98,On Skin,37
-2473,7879,14303,,57879,26303,76,98,On Skin,37
-2025,7879,14313,,57879,26313,76,98,On Skin,37
-2485,7919,14336,,57919,26336,76,98,On Skin,37
-2133,7990,14354,,57990,26354,76,98,On Skin,37
-1982,8025,14372,,58025,26372,76,98,On Skin,37
-2200,8020,14351,,58020,26351,76,98,On Skin,37
-1741,8004,14320,,58004,26320,76,98,On Skin,37
-1735,8016,14313,,58016,26313,76,98,On Skin,37
-1504,7999,14285,,57999,26285,76,98,On Skin,37
-1612,7875,14250,,57875,26250,76,98,On Skin,37
-970,7611,14153,,57611,26153,76,98,On Skin,37
-422,7231,14061,,57231,26061,76,98,On Skin,37
-453,6793,13955,,56793,25955,76,98,On Skin,37
393,6411,13857,,56411,25857,76,98,On Skin,37
44,6112,13785,,56112,25785,76,98,On Skin,37
-433,5939,13726,,55939,25726,76,98,On Skin,37
-814,5882,13737,,55882,25737,76,98,On Skin,37
-1509,5937,13758,,55937,25758,76,98,On Skin,37
-1705,6026,13794,,56026,25794,76,98,On Skin,37
-1871,6334,13870,,56334,25870,76,98,On Skin,37
-1985,6389,13876,,56389,25876,76,98,On Skin,37
-1465,6460,13901,,56460,25901,76,98,On Skin,37
-1969,6505,13912,,56505,25912,76,98,On Skin,37
-1750,6573,13926,,56573,25926,76,98,On Skin,37
-1945,6590,13933,,56590,25933,76,98,On Skin,37
-1364,6609,13938,,56609,25938,77,98,On Skin,37
-1609,6580,13926,,56580,25926,77,98,On Skin,37
-1354,6574,13927,,56574,25927,77,98,On Skin,37
-1533,6580,13927,,56580,25927,77,98,On Skin,37
-1255,6576,13926,,56576,25926,77,98,On Skin,37
-1194,6582,13919,,56582,25919,77,98,On Skin,37
-1226,6603,13922,,56603,25922,77,98,On Skin,37
-1127,6678,13955,,56678,25955,77,98,On Skin,37
-1112,6796,14015,,56796,26015,77,98,On Skin,37
-759,6923,14044,,56923,26044,77,98,On Skin,37
-640,7042,14077,,57042,26077,77,98,On Skin,37
-321,7158,14116,,57158,26116,77,98,On Skin,37
-1192,7216,14125,,57216,26125,77,98,On Skin,37
-1314,7265,14138,,57265,26138,77,98,On Skin,37
-1689,7288,14127,,57288,26127,77,98,On Skin,37
-2345,7353,14155,,57353,26155,77,98,On Skin,37
2199,7450,14178,,57450,26178,77,98,On Skin,37
-651,7746,14287,,57746,26287,77,98,On Skin,37
-333,7774,14275,,57774,26275,77,98,On Skin,37
-597,7808,14290,,57808,26290,77,98,On Skin,37
124,7872,14305,,57872,26305,77,98,On Skin,37
1044,7873,14297,,57873,26297,77,98,On Skin,37
1188,7620,14222,,57620,26222,77,98,On Skin,37
1708,7219,14113,,57219,26113,77,98,On Skin,37
1945,6812,14020,,56812,26020,77,98,On Skin,37
2259,6466,13926,,56466,25926,77,98,On Skin,37
1447,6217,13867,,56217,25867,77,98,On Skin,37
1158,6071,13828,,56071,25828,77,98,On Skin,37
9,6149,13835,,56149,25835,77,98,On Skin,37
-339,6191,13838,,56191,25838,77,98,On Skin,37
-50,6262,13842,,56262,25842,77,98,On Skin,37
120,6335,13880,,56335,25880,77,98,On Skin,37
-18,6541,13916,,56541,25916,77,98,On Skin,37
-417,6511,13887,,56511,25887,77,98,On Skin,37
66,6491,13886,,56491,25886,77,98,On Skin,37
-70,6477,13882,,56477,25882,77,98,On Skin,37
540,6513,13875,,56513,25875,77,98,On Skin,37
391,6505,13849,,56505,25849,77,98,On Skin,37
159,6542,13848,,56542,25848,77,98,On Skin,37
-594,6617,13879,,56617,25879,77,98,On Skin,37
-349,6723,13925,,56723,25925,77,98,On Skin,37
-893,6792,13931,,56792,25931,77,98,On Skin,37
-2028,6828,13928,,56828,25928,77,98,On Skin,37
5508,6864,13924,,56864,25924,77,98,On Skin,37
7706,6899,13921,,56899,25921,77,98,On Skin,37
-715,6968,13957,,56968,25957,77,98,On Skin,37
-126,7047,13994,,57047,25994,77,98,On Skin,37
-786,7122,14004,,57122,26004,77,98,On Skin,37
-422,7131,14003,,57131,26003,77,98,On Skin,37
-593,7150,13984,,57150,25984,77,98,On Skin,37
-315,7136,13980,,57136,25980,77,98,On Skin,37
-631,7154,13970,,57154,25970,77,98,On Skin,37
-456,7193,13998,,57193,25998,77,98,On Skin,37
-478,7279,14018,,57279,26018,77,98,On Skin,37
-67,7317,14043,,57317,26043,77,98,On Skin,37
-459,7299,14027,,57299,26027,77,98,On Skin,37
-2028,7094,13960,,57094,25960,77,98,On Skin,37
-2905,6800,13865,,56800,25865,77,98,On Skin,37
-2792,6401,13759,,56401,25759,77,98,On Skin,37
-2717,6038,13666,,56038,25666,77,98,On Skin,37
-2950,5748,13603,,55748,25603,77,98,On Skin,37
-3763,5543,13566,,55543,25566,77,98,On Skin,37
-5133,5384,13528,,55384,25528,77,98,On Skin,37
-5809,5349,13517,,55349,25517,77,98,On Skin,37
-6006,5380,13541,,55380,25541,77,98,On Skin,37
-5649,5453,13542,,55453,25542,77,98,On Skin,37
-5165,5544,13578,,55544,25578,77,98,On Skin,37
-5095,5667,13602,,55667,25602,77,98,On Skin,37
-4478,5738,13633,,55738,25633,77,98,On Skin,37
-4576,5778,13638,,55778,25638,77,98,On Skin,37
-4925,5828,13649,,55828,25649,77,98,On Skin,37
-4299,5910,13672,,55910,25672,77,98,On Skin,37
-4564,6003,13699,,56003,25699,77,98,On Skin,37
-4271,6064,13707,,56064,25707,77,98,On Skin,37
-5043,6088,13727,,56088,25727,77,98,On Skin,37
-4771,6072,13722,,56072,25722,77,98,On Skin,37
-4887,6062,13708,,56062,25708,77,98,On Skin,37
-4586,6011,13690,,56011,25690,77,98,On Skin,37
-4693,5952,13665,,55952,25665,77,98,On Skin,37
-4083,5949,13665,,55949,25665,77,98,On Skin,37
-3884,5975,13668,,55975,25668,77,98,On Skin,37
-3524,6032,13684,,56032,25684,77,98,On Skin,37
-3761,6073,13706,,56073,25706,77,98,On Skin,37
-3509,6148,13720,,56148,25720,77,98,On Skin,37
-3762,6187,13732,,56187,25732,77,98,On Skin,37
-3657,6189,13727,,56189,25727,77,98,On Skin,37
-3456,6249,13735,,56249,25735,77,98,On Skin,37
-5102,6367,13776,,56367,25776,77,98,On Skin,37
3527,6479,13823,,56479,25823,77,98,On Skin,37
3712,6551,13827,,56551,25827,77,98,On Skin,37
-3397,6557,13809,,56557,25809,77,98,On Skin,37
-3987,6584,13816,,56584,25816,77,98,On Skin,37
-3284,6648,13838,,56648,25838,77,98,On Skin,37
-3809,6679,13840,,56679,25840,77,98,On Skin,37
-2609,6797,13870,,56797,25870,77,98,On Skin,37
-2474,6867,13893,,56867,25893,77,98,On Skin,37
-1921,6892,13906,,56892,25906,77,98,On Skin,37
-1563,6762,13865,,56762,25865,77,98,On Skin,37
-829,6475,13805,,56475,25805,77,98,On Skin,37
-101,6086,13717,,56086,25717,77,98,On Skin,37
124,5687,13607,,55687,25607,77,98,On Skin,37
532,5366,13528,,55366,25528,77,98,On Skin,37
-342,5168,13478,,55168,25478,77,98,On Skin,37
-1146,5105,13471,,55105,25471,77,98,On Skin,37
-1911,5084,13461,,55084,25461,77,98,On Skin,37
-1825,5133,13480,,55133,25480,77,98,On Skin,37
-2242,5566,13624,,55566,25624,77,98,On Skin,37
-1465,5628,13650,,55628,25650,77,98,On Skin,37
-2258,5663,13666,,55663,25666,77,98,On Skin,37
-1727,5706,13655,,55706,25655,77,98,On Skin,37
-1370,5733,13647,,55733,25647,77,98,On Skin,37
-1757,5797,13686,,55797,25686,77,98,On Skin,37
-1921,5802,13678,,55802,25678,77,98,On Skin,37
-1626,5829,13698,,55829,25698,77,98,On Skin,37
-371,5856,13694,,55856,25694,77,98,On Skin,37
-925,5867,13699,,55867,25699,77,98,On Skin,37
-1022,5944,13711,,55944,25711,77,98,On Skin,37
-987,6011,13744,,56011,25744,77,98,On Skin,37
-1155,6137,13787,,56137,25787,77,98,On Skin,37
-2327,6211,13797,,56211,25797,77,98,On Skin,37
6892,6252,13797,,56252,25797,77,98,On Skin,37
5919,6292,13804,,56292,25804,77,98,On Skin,37
-700,6323,13819,,56323,25819,77,98,On Skin,37
-755,6368,13820,,56368,25820,77,98,On Skin,37
-661,6438,13827,,56438,25827,77,98,On Skin,37
-1034,6519,13870,,56519,25870,77,98,On Skin,37
-637,6593,13900,,56593,25900,77,98,On Skin,37
-650,6599,13885,,56599,25885,77,98,On Skin,37
-670,6604,13878,,56604,25878,77,98,On Skin,37
-91,6593,13868,,56593,25868,77,98,On Skin,37
-39,6637,13873,,56637,25873,77,98,On Skin,37
251,6632,13880,,56632,25880,77,98,On Skin,37
436,6595,13863,,56595,25863,77,98,On Skin,37
517,6396,13813,,56396,25813,77,98,On Skin,37
1179,6029,13712,,56029,25712,77,98,On Skin,37
1598,5647,13619,,55647,25619,77,98,On Skin,37
1722,5293,13522,,55293,25522,77,98,On Skin,37
1690,5019,13451,,55019,25451,77,98,On Skin,37
904,4876,13429,,54876,25429,77,98,On Skin,37
85,4823,13424,,54823,25424,77,98,On Skin,37
-411,4854,13434,,54854,25434,77,98,On Skin,37
-437,5201,13547,,55201,25547,77,98,On Skin,37
-390,5240,13536,,55240,25536,77,98,On Skin,37
-797,5299,13558,,55299,25558,77,98,On Skin,37
-677,5359,13588,,55359,25588,77,98,On Skin,37
-611,5463,13606,,55463,25606,77,98,On Skin,37
-641,5539,13627,,55539,25627,77,98,On Skin,37
-682,5593,13641,,55593,25641,77,98,On Skin,37
-570,5576,13636,,55576,25636,77,98,On Skin,37
-459,5566,13621,,55566,25621,77,98,On Skin,37
-709,5557,13607,,55557,25607,77,98,On Skin,37
-753,5552,13615,,55552,25615,77,98,On Skin,37
-379,5547,13605,,55547,25605,77,98,On Skin,37
-639,5516,13583,,55516,25583,77,98,On Skin,37
-148,5534,13588,,55534,25588,77,98,On Skin,37
-565,5553,13586,,55553,25586,77,98,On Skin,37
-424,5635,13603,,55635,25603,77,98,On Skin,37
-991,5697,13641,,55697,25641,77,98,On Skin,37
-1456,5822,13671,,55822,25671,77,98,On Skin,37
